,origem,destino,distance,STEPS_Status.FULL_JUMP,STEPS_Status.SINGLE_JUMP,STEPS_Status.SEQUENTIAL
1759,121,255,134,11,120,135
1760,792,858,66,6,52,67
1761,844,867,23,5,9,24
1762,119,648,529,35,515,530
1763,624,404,-220,51,766,781
1764,184,455,271,21,257,272
1765,600,243,-357,43,629,644
1766,17,626,609,40,595,610
1767,876,254,-622,26,364,379
1768,918,915,-3,65,983,998
1769,698,862,164,12,150,165
1770,332,815,483,33,469,484
1771,42,905,863,58,849,864
1772,988,370,-618,27,368,383
1773,538,539,1,2,2,2
1774,741,486,-255,49,731,746
1775,623,346,-277,48,709,724
1776,924,533,-391,40,595,610
1777,90,279,189,15,175,190
1778,240,53,-187,54,799,814
1779,607,969,362,25,348,363
1780,459,393,-66,61,920,935
1781,318,978,660,43,646,661
1782,570,396,-174,54,812,827
1783,737,526,-211,52,775,790
1784,224,214,-10,65,976,991
1785,91,690,599,41,585,600
1786,420,620,200,14,186,201
1787,162,112,-50,62,936,951
1788,448,504,56,5,42,57
1789,868,186,-682,23,304,319
1790,340,857,517,35,503,518
1791,993,688,-305,47,681,696
1792,886,584,-302,46,684,699
1793,337,898,561,37,547,562
1794,155,561,406,28,392,407
1795,219,186,-33,64,953,968
1796,56,407,351,26,337,352
1797,388,971,583,40,569,584
1798,725,858,133,11,119,134
1799,988,754,-234,51,752,767
1800,106,954,848,54,834,849
1801,11,13,2,2,2,3
1802,380,254,-126,57,860,875
1803,701,355,-346,44,640,655
1804,194,719,525,36,511,526
1805,443,984,541,37,527,542
1806,880,86,-794,16,192,207
1807,662,189,-473,37,513,528
1808,631,509,-122,58,864,879
1809,667,224,-443,38,543,558
1810,605,498,-107,59,879,894
1811,203,409,206,16,192,207
1812,777,254,-523,33,463,478
1813,245,273,28,4,14,29
1814,772,371,-401,41,585,600
1815,560,656,96,7,82,97
1816,824,261,-563,30,423,438
1817,560,909,349,25,335,350
1818,682,853,171,14,157,172
1819,960,342,-618,27,368,383
1820,787,323,-464,35,522,537
1821,240,822,582,39,568,583
1822,134,525,391,28,377,392
1823,249,934,685,46,671,686
1824,877,870,-7,64,979,994
1825,809,640,-169,56,817,832
1826,430,433,3,3,3,4
1827,688,80,-608,26,378,393
1828,928,375,-553,32,433,448
1829,165,196,31,6,17,32
1830,135,155,20,3,6,21
1831,93,261,168,12,154,169
1832,50,439,389,27,375,390
1833,236,457,221,17,207,222
1834,152,843,691,46,677,692
1835,507,984,477,33,463,478
1836,433,919,486,33,472,487
1837,78,41,-37,63,949,964
1838,373,540,167,14,153,168
1839,143,27,-116,57,870,885
1840,973,917,-56,60,930,945
1841,270,348,78,8,64,79
1842,32,539,507,35,493,508
1843,191,409,218,16,204,219
1844,266,553,287,22,273,288
1845,823,783,-40,61,946,961
1846,532,641,109,10,95,110
1847,232,139,-93,60,893,908
1848,468,500,32,3,18,33
1849,798,788,-10,65,976,991
1850,92,802,710,47,696,711
1851,323,642,319,24,305,320
1852,652,620,-32,62,954,969
1853,894,733,-161,56,825,840
1854,267,786,519,36,505,520
1855,426,910,484,32,470,485
1856,654,310,-344,42,642,657
1857,972,148,-824,12,162,177
1858,735,364,-371,42,615,630
1859,188,9,-179,54,807,822
1860,755,338,-417,40,569,584
1861,872,736,-136,55,850,865
1862,3,812,809,53,795,810
1863,634,552,-82,60,904,919
1864,872,474,-398,40,588,603
1865,854,830,-24,62,962,977
1866,430,136,-294,46,692,707
1867,360,357,-3,65,983,998
1868,693,666,-27,64,959,974
1869,232,932,700,46,686,701
1870,807,268,-539,32,447,462
1871,720,684,-36,62,950,965
1872,210,43,-167,54,819,834
1873,246,654,408,27,394,409
1874,261,169,-92,59,894,909
1875,857,83,-774,16,212,227
1876,914,296,-618,27,368,383
1877,148,121,-27,64,959,974
1878,740,544,-196,52,790,805
1879,961,118,-843,13,143,158
1880,543,10,-533,32,453,468
1881,322,489,167,14,153,168
1882,610,683,73,7,59,74
1883,975,953,-22,63,964,979
1884,97,3,-94,59,892,907
1885,247,361,114,9,100,115
